DateTime,Temp,DO,Airflow,OxygenFraction
2018-09-02 20:45,21.30410004,2.603125095,311998.9087,18.87895
2018-09-02 21:00,21.30089951,2.450000048,308570.3943,18.8219
2018-09-02 21:15,21.30809975,2.421875,294190.5103,18.7816
2018-09-02 21:30,21.30550003,2.450000048,312339.397,18.8567
2018-09-02 21:45,21.29199982,2.443750143,303526.4172,18.9118
2018-09-02 22:00,21.28879929,2.440624952,302485.3528,18.88065
2018-09-02 22:15,21.29059982,2.481250048,308306.0962,18.90205
2018-09-02 22:30,21.29150009,2.331249952,297990.824,18.8785
2018-09-02 22:45,21.28610039,2.331249952,306066.8188,18.82555
2018-09-02 23:00,21.2928009,2.503124952,305932.0386,18.89405
2018-09-02 23:15,21.29330063,1.8125,195653.8916,18.8163
2018-09-02 23:30,21.27529907,3.350000143,313262.2266,18.8298
2018-09-02 23:45,21.2901001,2.5,283470.8752,18.9438
2018-09-03 0:00,21.28790092,2.200000048,387388.0371,18.88255
2018-09-03 0:15,21.28120041,1.850000024,291478.7439,18.82875
2018-09-03 0:30,21.27260017,2.309375048,311088.2739,18.66905
2018-09-03 0:45,21.28120041,2.068750143,305316.2329,18.73475
2018-09-03 1:00,21.2840004,1.625,305237.7136,18.7314
2018-09-03 1:15,21.27529907,1.725000024,309028.0957,18.72065
2018-09-03 1:30,21.27479935,1.893750072,310628.8586,18.82945
2018-09-03 1:45,21.25510025,2.018749952,304152.5061,18.7828
2018-09-03 2:00,21.25020027,2.178125143,305085.1355,18.7838
2018-09-03 2:15,21.24570084,2.409374952,304601.0999,18.88965
2018-09-03 2:30,21.24620056,2.259375095,303307.6904,18.7896
2018-09-03 2:45,21.23360062,2.540625095,304063.5608,18.82105
2018-09-03 3:00,21.22870064,2.371875048,207125.0903,18.91875
2018-09-03 3:15,21.2045002,2.090625048,291269.4873,18.79865
2018-09-03 3:30,21.20980072,2.431250095,283803.4204,18.70275
2018-09-03 3:45,21.21520042,2.778125048,206693.877,18.74405
2018-09-03 4:00,21.18770027,2.559375048,205411.1572,18.7495
2018-09-03 4:15,21.19099998,2.421875,206114.5679,18.77675
2018-09-03 4:30,21.15730095,2.25,205901.8066,18.83075
2018-09-03 4:45,21.14389992,2.287500143,324121.5747,18.74145
2018-09-03 5:00,21.1446991,2.631250143,293160.3442,18.78055
2018-09-03 5:15,21.12050056,2.190624952,206258.6426,18.61465
2018-09-03 5:30,21.09760094,2.181250095,196108.8135,18.7393
2018-09-03 5:45,21.10160065,2.631250143,206832.7222,18.64245
2018-09-03 6:00,21.07929993,2.640625,205336.7358,18.6026
2018-09-03 6:15,21.06340027,2.559375048,206621.6748,18.68945
2018-09-03 6:30,21.03070068,2.162500143,197272.6611,18.68985
2018-09-03 6:45,21.00729942,2.862499952,206133.6621,18.65735
2018-09-03 7:00,20.99790001,2.337500095,202083.4863,18.72375
2018-09-03 7:15,20.98080063,2.003124952,190376.3452,18.70945
2018-09-03 7:30,20.9673996,2.728125095,203156.3452,18.6119
2018-09-03 7:45,20.93989944,2.287500143,201150.1318,18.5938
2018-09-03 8:00,20.92070007,2.981250048,200141.8066,18.6978
2018-09-03 8:15,20.9204998,3.103125095,202600.0415,18.63815
2018-09-03 8:30,20.92449951,2.509375095,176057.9077,18.72405
2018-09-03 8:45,20.90620041,2.762500048,198975.2783,18.61255
2018-09-03 9:00,20.90159988,1.743749976,182247.0337,18.5497
2018-09-03 9:15,20.9008007,3.043750048,186499.8413,18.59265
2018-09-03 9:30,20.9034996,3.049999952,198176.5723,18.5528
2018-09-03 9:45,20.89949989,1.962499976,188699.2383,18.64675
2018-09-03 10:00,20.91020012,3.34375,194022.9932,18.52805
2018-09-03 10:15,20.92910004,2.181250095,192907.7051,18.60175
2018-09-03 10:30,20.91340065,2.521875143,176740.8838,18.59595
2018-09-03 10:45,20.92370033,2.762500048,202620.6958,18.59365
2018-09-03 11:00,20.95610046,1.803125024,193161.7969,18.5339
2018-09-03 11:15,20.92420006,2.553125143,207134.2969,18.4532
2018-09-03 11:30,20.93829918,2.200000048,207324.2285,18.359
2018-09-03 11:45,20.96150017,2.253124952,207376.7432,18.346
2018-09-03 12:00,20.97500038,2.012500048,207318.0762,18.29975
2018-09-03 12:15,20.98889923,1.8125,207227.9004,18.2725
2018-09-03 12:30,20.99970055,1.740625024,207375.9082,18.30685
2018-09-03 12:45,21.01600075,2.28125,315429.2578,18.29305
2018-09-03 13:00,21.03879929,2.100000143,307406.1731,18.45905
2018-09-03 13:15,21.03890038,2.081249952,310906.0547,18.44935
2018-09-03 13:30,21.05179977,1.862500072,312762.6892,18.52765
2018-09-03 13:45,21.05719948,1.753125072,312341.4734,18.4872
2018-09-03 14:00,21.06389999,1.774999976,312755.4822,18.52315
2018-09-03 14:15,21.06719971,1.700000048,314009.6375,18.53505
2018-09-03 14:30,21.10029984,1.550000072,314369.1101,18.5619
2018-09-03 14:45,21.13800049,1.53125,315294.2578,18.5039
2018-09-03 15:00,21.17169952,1.581250072,314974.0063,18.5125
2018-09-03 15:15,21.18190002,1.518750072,314270.6616,18.5123
2018-09-03 15:30,21.1923008,1.481250048,314169.95,18.62995
2018-09-03 15:45,21.20529938,1.381250024,313971.3171,18.655
2018-09-03 16:00,21.20260048,1.359375,312412.1484,18.625
2018-09-03 16:15,21.20940018,1.34375,311671.3623,18.62115
2018-09-03 16:30,21.2269001,1.371875048,311598.5449,18.64255
2018-09-03 16:45,21.25379944,1.403125048,312296.7041,18.65655
2018-09-03 17:00,21.25839996,1.371875048,312161.2097,18.59845
2018-09-03 17:15,21.27260017,1.359375,312887.2632,18.6846
2018-09-03 17:30,21.28120041,1.225000024,312115.7483,18.7715
2018-09-03 17:45,21.28930092,1.200000048,312720.1501,18.7205
2018-09-03 18:00,21.29999924,1.149999976,312645.498,18.6984
2018-09-03 18:15,21.30550003,1.221875072,312421.9263,18.7414
2018-09-03 18:30,21.30089951,1.190625072,312720.7214,18.67145
2018-09-03 18:45,21.31089973,1.128125072,312165.3735,18.7195
2018-09-03 19:00,21.31170082,1.087499976,312643.2129,18.8712
2018-09-03 19:15,21.31170082,1.090625048,311857.7014,18.7927
2018-09-03 19:30,21.32559967,1.0625,312344.1321,18.8105
2018-09-03 19:45,21.32239914,1.112500072,310921.1499,18.8066
2018-09-03 20:00,21.32649994,1.112500072,312198.9148,18.86125
2018-09-03 20:15,21.32699966,1.162500024,311619.4189,18.81745
2018-09-03 20:30,21.33460045,1.087499976,311269.4275,18.8262
2018-09-03 20:45,21.33909988,1.090625048,310713.728,18.91505
2018-09-03 21:00,21.33460045,1.100000024,310569.2029,18.854
2018-09-03 21:15,21.33429909,1.012500048,311013.1274,18.954
2018-09-03 21:30,21.34309959,1.03125,310044.397,18.84405
2018-09-03 21:45,21.34720039,1.040624976,309675.0037,18.80515
2018-09-03 22:00,21.35210037,0.990625024,309958.3521,18.9935
2018-09-03 22:15,21.3560009,1.071874976,309751.864,18.8969
2018-09-03 22:30,21.36499977,1.0625,309711.0388,18.8497
2018-09-03 22:45,21.37229919,1.0625,309022.998,18.87595
2018-09-03 23:00,21.37630081,0.990625024,309722.5854,18.9438
2018-09-03 23:15,21.39380074,1.081250072,309261.2585,18.8663
2018-09-03 23:30,21.40449905,1.028125048,308875.2649,18.93425
2018-09-03 23:45,21.41390038,1.018750072,309280.4297,18.88005
2018-09-04 0:00,21.42609978,1.043750048,309938.0713,18.78985
2018-09-04 0:15,21.43280029,1.090625048,309117.8979,18.88945
2018-09-04 0:30,21.4368,1.0625,309087.1802,18.9036
2018-09-04 0:45,21.4435997,1.087499976,309193.4399,18.81685
2018-09-04 1:00,21.44669914,1.171875,309624.5435,18.89915
2018-09-04 1:15,21.44809914,1.128125072,308742.9346,18.82135
2018-09-04 1:30,21.44890022,1.240625024,309114.624,18.9375
2018-09-04 1:45,21.45079994,1.271875024,309760.9167,18.9437
2018-09-04 2:00,21.45170021,1.371875048,309404.5532,18.9101
2018-09-04 2:15,21.45350075,1.331250072,308970.6702,18.90755
2018-09-04 2:30,21.45829964,1.5625,302713.0444,18.908
2018-09-04 2:45,21.44669914,1.5625,305155.448,18.7427
2018-09-04 3:00,21.44669914,1.700000048,305179.4751,18.8125
2018-09-04 3:15,21.44400024,1.971875072,302379.8291,18.80465
2018-09-04 3:30,21.44269943,2.668750048,301986.6724,18.8673
2018-09-04 3:45,21.44219971,2.690624952,293397.2974,18.89885
2018-09-04 4:00,21.43149948,1.868749976,323794.9402,18.91955
2018-09-04 4:15,21.4260006,2.481250048,274043.2324,18.9686
2018-09-04 4:30,21.41799927,2.981250048,288726.8555,18.9407
2018-09-04 4:45,21.40589905,2.421875,203656.4648,19.07645
2018-09-04 5:00,21.39830017,2.228125095,282905.7935,18.9951
2018-09-04 5:15,21.39159966,2.118750095,197749.3799,19.02245
2018-09-04 5:30,21.37759972,3.190624952,280259.967,18.8569
2018-09-04 5:45,21.3628006,2.799999952,189253.2129,18.87035
2018-09-04 6:00,21.33239937,2.618750095,204257.1533,18.87815
2018-09-04 6:15,21.32649994,2.740625143,297949.9988,18.80085
2018-09-04 6:30,21.31570053,3.043750048,273891.5662,18.794
2018-09-04 6:45,21.28210068,2.450000048,202104.9097,18.9277
2018-09-04 7:00,21.27000046,2.509375095,191449.5117,18.9219
2018-09-04 7:15,21.25650024,3.049999952,204991.1719,18.83225
2018-09-04 7:30,21.24169922,2.25,196220.061,18.96885
2018-09-04 7:45,21.22550011,2.53125,193226.9458,18.81445
2018-09-04 8:00,21.20669937,2.440624952,198942.561,18.761
2018-09-04 8:15,21.18969917,2.003124952,184469.8315,18.76155
2018-09-04 8:30,21.17620087,3.049999952,204190.6641,18.70515
2018-09-04 8:45,21.18989944,2.381250143,205583.0713,18.6748
2018-09-04 9:00,21.12989998,1.734375,191338.1763,18.6728
2018-09-04 9:15,21.14609909,2.543750048,205709.6338,18.63335
2018-09-04 9:30,21.1291008,1.96875,205198.418,18.78785
2018-09-04 9:45,21.13389969,2.518749952,204807.5244,18.74945
2018-09-04 10:00,21.13310051,1.453125,204647.8052,18.73815
2018-09-04 10:15,21.11149979,2.118750095,205822.6831,18.6151
2018-09-04 10:30,21.11510086,1.725000024,205887.5684,18.56925
2018-09-04 10:45,21.10700035,1.971875072,205666.4136,18.48925
